t,x,y,theta,state,front_min,dist_goal,clearance,v,omega
34.550000000000175,6.2267618515609815,4.589789073759133,0.8878666964054043,AVOID,0.19852597931688123,5.2096842746841965,0.27688951134116757,0.08,0.0
34.60000000000017,6.22928612485317,4.592891982772679,0.8878666964054043,AVOID,2.0,5.205713827463097,0.2769673121167959,0.32,0.0
34.65000000000017,6.2393832180219215,4.605303618826864,0.8878666964054043,RUN,2.0,5.189832492444748,0.2774534954954585,0.64,0.5492427853864792
34.700000000000166,6.259234037493071,4.630401041247882,0.9153288356747282,RUN,2.0,5.158022210262779,0.27882549414531776,0.64,0.1845733759166048
34.75000000000016,6.278621660521141,4.655859100986298,0.9245575044705587,RUN,2.0,5.126154525281918,0.2807267430481408,0.64,0.19917018244031287
34.80000000000016,6.297764149783481,4.681501968263575,0.9345160135925745,RUN,2.0,5.094261854312828,0.28343202128426104,0.64,0.1739886217850931
34.85000000000016,6.316666606499318,4.7073223220970695,0.9432154446818295,RUN,2.0,5.06234725666286,0.28694242043812046,0.64,0.15580300512710918
34.900000000000155,6.335355551431727,4.73329765960686,0.9510055949381853,RUN,2.0,5.030415380344054,0.29128279090177045,0.64,0.13908648367582413
34.95000000000015,6.353852503378148,4.759410082737517,0.9579599191219765,RUN,2.0,4.998469707847225,0.2964687334548276,0.64,0.12421737922541742
35.00000000000015,6.37217717575175,4.785643707928867,0.9641707880832477,RUN,2.0,4.966513037550551,0.302510694815574,0.64,0.11093676342349928
35.050000000000146,6.390347314625801,4.811984615806431,0.9697176262544227,RUN,2.0,4.934547597958983,0.30941392395203005,0.64,0.09908062909227905
35.10000000000014,6.408378907144359,4.8384205681622525,0.9746716577090364,RUN,2.0,4.902575165811255,0.31717891363157913,0.64,0.0884951150789959
35.15000000000014,6.426286336974483,4.864940792259811,0.9790964134629867,RUN,2.0,4.8705971575117095,0.3258018062042881,0.64,0.07904378160266588
35.20000000000014,6.444082533760159,4.891535792674866,0.9830486025431195,RUN,2.0,4.838614702278083,0.3352748171142812,0.64,0.0706047884184007
35.250000000000135,6.461779110967658,4.918197189706251,0.9865788419640396,RUN,2.0,4.806628700413844,0.34558666394775983,0.64,0.0630694244061099
35.30000000000013,6.479386492839367,4.944917579954841,0.9897323131843452,RUN,2.0,4.774639869753522,0.3567229954281602,0.64,0.05634067884775416
35.35000000000013,6.496914030726488,4.971690415785915,0.992549347126733,RUN,2.0,4.742648782678828,0.3686668138514768,0.64,0.05033198048513144
35.40000000000013,6.514370109296731,4.998509900876248,0.9950659461509899,RUN,2.0,4.710655895620371,0.38139888485806206,0.64,0.04496607146323141
35.450000000000124,6.5317622431957805,5.025370899500437,0.9973142497241518,RUN,2.0,4.67866157257093,0.3948981290694671,0.64,0.04017400317203138
35.50000000000012,6.549097164791348,5.05226885758216,0.9993229498827532,RUN,1.9789283374716984,4.646666103826428,0.40914199099070303,0.64,0.03589424058428978
35.55000000000012,6.5663809036473335,5.079199733845293,1.0011176619119677,RUN,1.948455565985895,4.6146697209238265,0.4241067815800874,0.64,0.03207186335320571
35.600000000000115,6.58361885837334,5.106159939657353,1.0027212550796278,RUN,1.917824999926379,4.582672608548225,0.43976799193554794,0.64,0.028657853187964814
35.65000000000011,6.600815861477789,5.1331462863723285,1.0041541477390261,RUN,1.887049629551261,4.550674914024587,0.4561005765660091,0.64,0.025608458167304053
35.70000000000011,6.6179762378262215,5.16015593915939,1.0054345706473917,RUN,1.8561421595917178,4.51867675488449,0.47307920565541517,0.64,0.022884625665385426
35.75000000000011,6.635103857273798,5.187186376453951,1.0065788019306607,RUN,1.8251147817416533,4.486678224898641,0.490678486548636,0.64,0.02045149646815129
35.800000000000104,6.652202182004729,5.214235354293532,1.0076013767540681,RUN,1.7939790265292974,4.454679398886566,0.5088731553719541,0.64,0.018277953463042448
35.8500000000001,6.669274309073952,5.241300874906692,1.0085152744272206,RUN,1.7627456750656516,4.4226803365515694,0.5276382402399005,0.64,0.01633621900280445
